active_cell,input_dim,num_layers,hidden_units_list,output_dim,model_h_size_int8_kb,model_file_size_int8_kb,model_file_size_int8_mb,RAM_KB,Flash_MB,CLK_FREQ_MHZ,RAM_HW_KB,Flash_HW_MB,avg_normalize_input_us,avg_quantize_input_us,avg_interpreter_invoke_us,avg_dequantize_output_us,avg_extract_codebook_index_us,avg_extract_codebook_index_fast_us,tot_latency_us,extract_codebook_index_list[0:5],extract_codebook_index_fast_list[0:5]
16,2048,0,"[2048, 8192, 8192]",256,90336.12,516.12,0.5,95.55,0.85,240,320,4,4296.111,3202.556,55861.444,114.333,48.222,17.444,63522.667,"[248, 241, 141, 141, 90]","[248, 241, 141, 141, 90]"
16,2048,1,"[2048, 8192, 8192]",256,516.12,4636.46,4.53,0,-696140,240,320,4,0,0,0,0,0,0,0,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
16,2048,2,"[2048, 8192, 8192]",256,4636.46,22652.79,22.12,0,-19144860,240,320,4,0,0,0,0,0,0,0,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
16,2048,3,"[2048, 8192, 8192]",256,22652.79,88285.12,86.22,0,-86352364,240,320,4,0,0,0,0,0,0,0,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
16,2048,0,"[2048, 8192, 8192]",128,88285.12,258.62,0.25,95.05,0.6,240,320,4,4296.111,3202.222,27984.556,60.111,24.667,10.222,35567.667,"[68, 13, 98, 38, 68]","[68, 13, 98, 38, 68]"
16,2048,1,"[2048, 8192, 8192]",128,258.62,4378.96,4.28,0,-432460,240,320,4,0,0,0,0,0,0,0,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
16,2048,2,"[2048, 8192, 8192]",128,4378.96,21627.29,21.12,0,-18094748,240,320,4,0,0,0,0,0,0,0,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
16,2048,3,"[2048, 8192, 8192]",128,21627.29,87259.62,85.21,0,-85302252,240,320,4,0,0,0,0,0,0,0,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
16,2048,0,"[2048, 8192, 8192]",64,87259.62,129.88,0.13,94.8,0.47,240,320,4,4298.889,3202.778,14045.556,33.778,12.667,6.667,21593.667,"[2, 46, 49, 52, 14]","[2, 46, 49, 52, 14]"
16,2048,1,"[2048, 8192, 8192]",64,129.88,4250.21,4.15,0,-300620,240,320,4,0,0,0,0,0,0,0,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
16,2048,2,"[2048, 8192, 8192]",64,4250.21,21114.54,20.62,0,-17569692,240,320,4,0,0,0,0,0,0,0,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
16,2048,3,"[2048, 8192, 8192]",64,21114.54,86746.87,84.71,0,-84777196,240,320,4,0,0,0,0,0,0,0,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
